pmid,doi,title,abstract,journal,year,authors,keywords,citation_count,source,url
,10.1007/s10103-025-04675-6,Tooth color prediction in intraoral images under different clinical lights using ML algorithms and CLAHE technique: an In-Vivo study.,"Tooth color selection is a crucial step in prosthetic dental treatments. However, the process often suffers from subjectivity, environmental light variability, and the high cost or lack of standardization in instrumental methods. This study aims to develop a consistent and reliable tooth color prediction model using machine learning (ML) techniques, even under different clinical lights. In-vivo intraoral images of anterior teeth were collected from volunteer patients under five different clinical light sources. The teeth were annotated, segmented, and matched with corresponding color labels. LAB color space was used, and the CLAHE (Contrast Limited Adaptive Histogram Equalization) technique was applied to the L-channel to reduce light-induced glare. To address class imbalance, data augmentation was performed, resulting in a balanced dataset of 16,640 images. The dataset was split into 80% training and 20% testing subsets. Five ML algorithms-Random Forest (RF), K-Nearest Neighbors (KNN), Logistic Regression, Decision Tree, and XGBoost-were evaluated. As a result of experimental studies, RF and XGBoost obtained the highest performance, both achieving an accuracy of 97% in predicting tooth color across different lighting scenarios. These results demonstrate the robustness of the approach under variable lighting conditions. This study demonstrates that ML algorithms combined with image enhancement techniques such as CLAHE can provide accurate and light-independent tooth color predictions. The proposed method offers a practical and low-cost tool to support clinical decision-making in prosthetic dentistry, potentially enhancing standardization and efficiency in color matching processes.",Lasers in medical science,,"['EsraEfitli', 'Abdullah AmmarKarcioglu', 'AlperOzdogan', 'FurkanKaratas', 'TubaSenocak']",,,PubMed,
,10.1038/s41598-025-18608-4,Large language models for autism: evaluating theory of mind tasks in a gamified environment.,"Autism Spectrum Disorder often significantly affects reciprocal social communication, leading to difficulties in interpreting social cues, recognizing emotions, and maintaining verbal interactions. These challenges can make everyday conversations especially demanding. To support autistic people in developing their social competence and communication abilities, we propose an interactive game specifically designed to enhance social understanding. By incorporating gamification elements and a user-centered design approach, the application aims to balance clinical relevance with high usability, ensuring it remains accessible, engaging, and beneficial for anyone seeking to improve their social skills. Large Language Models have recently been assessed for their ability to detect sarcasm and irony within Theory of Mind tasks, showing performance comparable to that of trained psychologists. However, a significant limitation remains: their dependence on traditional ""black box"" AI architectures, which often lack explainability, interpretability, and transparency. This limitation is particularly concerning when people with and without Autism Spectrum Disorder use these models to learn and practice social skills in safe, virtual environments. This study investigates and compares the performance of Large Language Models and human experts in evaluating Theory of Mind tasks, providing a detailed comparative analysis. A total of 21 participants engaged with our game, and their responses were assessed by four human experts alongside GPT-4o. The results indicate that GPT-4o matches human experts in both adherence to instructional criteria and evaluation accuracy, with no statistically significant differences observed. These findings underscore the potential of LLMs to support scalable, always-available social training systems that are accessible from anywhere.",Scientific reports,,"['ChristianPoglitsch', 'AnnaReiss', 'Selina CWriessnegger', 'JohannaPirker']",,,PubMed,
,10.1038/s41598-025-18298-y,Machine learning-assisted screening of clinical features for predicting difficult-to-treat rheumatoid arthritis.,"To identify clinical features that predict the risk of meeting difficult-to-treat (D2T) rheumatoid arthritis (RA) definition in advance. This retrospective analysis included RA patients from the ATTRA registry who initiated biologic (b-) or targeted synthetic (ts-) disease-modifying anti-rheumatic drugs (DMARDs) between 2002 and 2023. Patients with D2T RA met the EULAR criteria, while controls achieved sustained remission, defined as a Simple Disease Activity Index (SDAI) < 3.3 and a Swollen Joint Count (SJC) ≤ 1, maintained across two consecutive visits 12 weeks apart. Patients were assessed at baseline and at one and two years before fulfilling the D2T RA definition. Predictive models were developed using machine learning techniques (lasso and ridge logistic regression, support vector machines, random forests, and XGBoost). Shapley additive explanation (SHAP) values were used to assess the contribution of individual variables to model predictions. Among 8,543 RA patients, 641 met the criteria for D2T RA, while 1,825 achieved remission. The machine learning models demonstrated an accuracy range of 0.606-0.747, with an area under the receiver operating characteristic curve (AUC) of 0.656-0.832 for predicting D2T RA. SHAP analysis highlighted key predictive variables, including disease activity measures (DAS28-ESR, CDAI, CRP), patient-reported outcomes (HAQ), and the duration of b/tsDMARD treatment. We identified clinical features predictive of D2T RA at baseline and up to one year before meeting the formal criteria. These findings provide valuable insights into early indicators of D2T RA progression and support the importance of earlier recognition and timely therapeutic intervention to improve long-term patient outcomes.",Scientific reports,,"['JiříBaloun', 'Lucie AndrésCerezo', 'TerezaKropáčková', 'AnetaProkopcová', 'Kristýna BrábníkováMarešová', 'HeřmanMann', 'JiříVencovský', 'KarelPavelka', 'LadislavŠenolt']",,,PubMed,
,10.1038/s41398-025-03627-6,Natural lithium isotope variations in serum after lithium administration as a novel biomarker for differentiating schizophrenia and bipolar disorder.,"Accurate differentiation of schizophrenia (SZ) and bipolar disorder (BD) is crucial for effective clinical management. However, current diagnostic methods, which rely heavily on subjective assessments, are prone to high rates of misdiagnosis. This study pioneers the investigation of natural variations in lithium (Li) isotopes as potential biomarkers for differentiating BD and SZ. We identified significant and distinct variations in the isotopic compositions of Li in serum (δ",Translational psychiatry,,"['JunhangDong', 'BaoliangZhong', 'JunYao', 'JingChen', 'ShuyangLi', 'PengjuXing', 'XiaoliangZhou', 'GangWang', 'LvyuYang', 'YingGuo', 'ChengyuHu', 'ZhijuanDuan', 'Nicholas StanleyBelshaw', 'HongtaoZheng', 'XingLiu', 'ZhenliZhu']",,,PubMed,
,10.1038/s41398-025-03584-0,Reconfiguration of functional brain hierarchy in schizophrenia.,"The multidimensional nature of schizophrenia requires a comprehensive exploration of the functional and structural brain networks. While prior research has provided valuable insights into these aspects, our study goes a step further to investigate the reconfiguration of the hierarchy of brain dynamics, which can help understand how brain regions interact and coordinate in schizophrenia. We applied an innovative thermodynamic framework, which allows for a quantification of the degree of functional hierarchical organisation by analysing resting state fMRI-data. Our findings reveal increased hierarchical organisation at the whole-brain level and within specific resting-state networks in individuals with schizophrenia, which correlated with negative symptoms, positive formal thought disorder and apathy. Moreover, using a machine learning approach, we showed that hierarchy measures allow a robust diagnostic separation between healthy controls and schizophrenia patients. Thus, our findings provide new insights into the nature of functional connectivity anomalies in schizophrenia, suggesting that they could be caused by the breakdown of the functional orchestration of brain dynamics.",Translational psychiatry,,"['IreneAcero-Pousa', 'AniraEscrichs', 'PaulinaClara Dagnino', 'YonatanSanz Perl', 'Morten LKringelbach', 'Peter JUhlhass', 'GustavoDeco']",,,PubMed,
,10.1136/jitc-2024-010975,Preliminary qualification of a machine learning-based assessment of the tumor immune infiltrate as a predictor of outcome in patients with hepatocellular carcinoma treated with atezolizumab plus bevacizumab.,"Spontaneously immunogenic hepatocellular carcinoma (HCC), identified by a dense immune cell infiltrate (ICI), responds better to immunotherapy, although no validated biomarker exists to identify these cases. We used machine learning (ML) to quantify ICI from standard H&E-stained tissue and evaluated its correlation with characteristics of the tumor microenvironment (TME) and clinical outcome from atezolizumab plus bevacizumab (A+B).We therefore employed a supervised ML algorithm on 102 pretreatment H&E slides collected from patients treated with A+B. We quantified tumor, stroma and immune cell counts/mm",Journal for immunotherapy of cancer,,"['BernhardScheiner', 'PasqualeLombardi', ""AntonioD'Alessio"", 'GwangilKim', 'MasoudTafavvoghi', 'OleksandrPetrenko', 'Robert DGoldin', 'Claudia A MFulgenzi', 'AriaTorkpour', 'LorenzBalcar', 'Francesco AMauri', 'KatharinaPomej', 'VeraHimmelsbach', 'MaryamBarsch', 'CiroCelsa', 'GiuseppeCabibbo', 'JaekyungCheon', 'AnjaKrall', 'FlorianHucke', 'LucaDi Tommaso', 'MonicaBernasconi', 'LorenzaRimassa', 'AdelSamson', 'BernardoStefanini', 'BehrangMozayani', 'MichaelTrauner', 'CarolinLackner', 'RudolfStauber', 'FrancescoVasuri', 'FabioPiscaglia', 'BertramBengsch', 'FabianFinkelmeier', 'MarkusPeck-Radosavljevic', 'Lill-ToveRasmussen Busund', 'TeresaMarafioti', 'MohammadRahbari', 'MathiasHeikenwalder', 'MatthiasPinter', 'Hong JaeChon', 'MehrdadRakaee', 'David JPinato']",,,PubMed,
,10.1136/bmjresp-2025-003532,Bench evaluation of six non-invasive ventilation home ventilators: comparison with an ICU ventilator and unsupervised clustering.,"Chronic hypercapnic respiratory failure often necessitates non-invasive ventilation (NIV) at home. Our study aimed to assess the static and dynamic performance of six modern NIV home ventilators and one intensive care unit (ICU) ventilator and to identify performance clusters among the devices.
A two-compartment lung model was connected to seven NIV ventilators (Sefam Stan, Philips A40, Philips DreamStation, Resmed Lumis 150, Löwenstein PrismaVent 30C, Löwenstein PrismaVent 40 and BellaVista 1000) in pressure-support mode. Static and dynamic (triggering and pressurisation) performances were assessed through three distinct clinical phenotypes and four levels of unintentional leak. Clustering analysis was performed using K-means.
For each of the seven ventilators, 144 conditions were tested, and a total of 3024 cycles were analysed. Static and dynamic performances were good to excellent across home ventilators, significantly higher than the ICU ventilator. Clustering analysis identified three performance clusters. Cluster 1 (Sefam Stan and Philips A40) showed significantly more precise accuracy of inspiratory pressure than Cluster 2 (Philips DreamStation, Resmed Lumis 150, Löwenstein PrismaVent 30C and Löwenstein PrismaVent 40) and Cluster 3 (BellaVista 1000): mean error=4.3%±5.1% versus 8.5%±6.7% versus 10.6%±14.7% respectively, p<0.001. For the triggering delay, Cluster 1 displayed shorter delays than Cluster 2 and Cluster 3 (41±5 ms vs 58±11 ms vs 67±13 ms, respectively, p<0.001). For the pressurisation delay, Cluster 1 displayed shorter delays than Cluster 2 and Cluster 3 (42±6 ms vs 64±14 ms vs 87±14 ms, respectively, p<0.001). For the pressure-time product at 300 ms, Cluster 1 displayed higher area under the curve for the first 300 ms than Cluster 2 and Cluster 3 (2.1±1.1 cmH
The six NIV home ventilators demonstrated superior performance compared with the tested ICU ventilator. The ventilators of Cluster 1 were identified as top performers in clustering analysis and compensated for unintentional continuous leaks.",BMJ open respiratory research,,"['JorisPensier', 'MathieuCapdevila', 'DanyJaffuel', 'AbdelkebirSabil', 'FabriceGalia', 'AlbertPrades', 'AurélieVonarb', 'JulienBoudjemaa', 'AudreyDe Jong', 'SamirJaber']",,,PubMed,
,10.1136/bmjhci-2025-101512,Better understanding: can a large language model safely improve readability of patient information leaflets in interventional radiology?,"This study aimed to evaluate the feasibility of using a large language model (LLM) to generate patient information leaflets (PILs) with improved readability based on PILs in the field of interventional radiology.
PILs were acquired from the Cardiovascular and Interventional Radiology Society of Europe website, reformatted, and uploaded to the GPT-4 user interface with a prompt aimed to simplify the language. Automated readability metrics were used to evaluate the readability of original and LLM-modified PILs. Factual accuracy was assessed by human evaluation from three consultant interventional radiologists using an agreed marking scheme.
LLM-modified PILs had significantly lower mean reading grade (9.5±0.5) compared with original PILs (11.1±0.1) (p<0.01). However, the recommended reading grade of 6 (expected to be understood by 11- to 12-year-old children) was not achieved. Human evaluation revealed that most LLM-modified PILs had minor concerns regarding factual accuracy, but no errors that could result in serious patient harm were detected.
LLMs appear to be a powerful tool in improving the readability of PILs within the field of interventional radiology. However, clinical experts are still required in PIL development to ensure the factual accuracy of these augmented documents is not compromised.
LLMs should be considered as a useful tool to assist with the development and revision of PILs in the field of interventional radiology.",BMJ health & care informatics,,"['WilliamClackett', 'Ian AZealley', 'ZeleiYang', 'GhaliSalahia', 'Richard DWhite']",,,PubMed,
,10.1016/j.drudis.2025.104487,Bridging data and drug development: Machine learning approaches for next-generation ADMET prediction.,"Absorption, distribution, metabolism, excretion, and toxicity (ADMET) evaluation is fundamental to determining drug candidate clinical success. Traditional experimental methods, although reliable, are resource-intensive, whereas conventional computational models lack robustness and generalizability. Recent machine learning (ML) advances have transformed ADMET prediction by deciphering complex structure-property relationships, providing scalable, efficient alternatives. In this paper, we systematically examine state-of-the-art methodologies, including graph neural networks, ensemble learning, and multitask frameworks, as well as emerging strategies for multimodal data integration and algorithmic optimization aimed at enhancing predictive accuracy and translational relevance. By mitigating late-stage attrition, supporting preclinical decision-making, and expediting the development of safer and more efficacious therapeutics, ML-driven ADMET prediction exemplifies the transformative role of artificial intelligence in reshaping modern drug discovery and development.",Drug discovery today,,"['NiniFan', 'JingChen', 'JinghuiWang', 'Zhe-ShengChen', 'YinfengYang']",,,PubMed,
,10.1016/j.neubiorev.2025.106399,Classification of Neurological and Mental Health Disorders Based on Multimodal Approaches: A Comprehensive Review.,"Disorders of the nervous system and mental health are among the most prevalent, complex, and devastating health challenges globally, with a significant impact on quality of life. Recently, advances in deep learning-based multimodal methodologies have transformed the classification and detection of these disorders through the utilization of diverse data types including neuroimaging, bio-signals, and clinical evaluations. These multimodal techniques provide a more holistic understanding of complex conditions, addressing the limitations of traditional unimodal methods, which often fail to capture the multifaceted nature of these disorders. Despite the growing body of research, a comprehensive review focusing on the application of deep learning-based multimodal approaches to both neurological and mental health disorders remains lacking. This review fills this gap by offering an in-depth analysis of recent advancements in machine learning and deep learning-based multimodal classification for ten major disorders: five neurological and five mental health-related. It examined key modalities, explored fusion strategies, and provided insights into the strengths and weaknesses of existing multimodal approaches. Additionally, this review highlighted the challenges associated with multimodal data integration, such as data imbalance, model interpretability, and the need for large-scale, high-quality datasets. Furthermore, the review discussed emerging trends and future directions, emphasizing the potential of advanced fusion and computational techniques to enhance the clinical applicability of these models. By synthesizing the current state of research, this review aims to guide future studies and contribute to the development of more accurate, reliable, and accessible diagnostic tools for neurological and mental health disorders.",Neuroscience and biobehavioral reviews,,"['Hivi IDino', 'Masoud MHassan']",,,PubMed,
,10.1016/j.jaip.2025.09.013,AI-Driven Wearable and Connected Technology for Allergy: Real-Time Monitoring and Predictive Management for Personalized Care.,"Allergic diseases are increasing worldwide, underscoring the need for innovative management strategies. Wearable and connected technologies combined with artificial intelligence (AI) can support real-time monitoring, personalized alerts, and proactive interventions. This review summarizes AI-enabled tools for allergy care spanning physiologic signals, environmental exposures (e.g., pollutant proxies such as particulates/VOCs), and patient behaviors, as well as connected medication-adherence technologies (e.g., digital inhalers) that integrate with the same analytics workflows. We also outline predictive algorithms that forecast exacerbations and briefly review therapeutic devices. Reported benefits include earlier warning of clinical deterioration, improved adherence/technique, and opportunities for tailored management. However, important limitations remain around data accuracy and reliability, user adoption, workflow integration, equity/fairness, privacy/cybersecurity, and evolving regulatory pathways. Critically, most devices and algorithms reviewed are investigational or early-phase, with evidence dominated by feasibility or short-term studies, and only a few show improvements in patient-centered outcomes in prospective trials. Realizing clinical value will require outcomes-focused validation (including external/pragmatic studies), safeguards for privacy and security, attention to bias and subgroup performance, and implementation models that fit clinical workflows and reimbursement. With these conditions met, AI-driven wearable and connected technologies could enable more proactive, personalized allergy care.",The journal of allergy and clinical immunology. In practice,,"['George NKonstantinou', 'William CAnderson', 'EvangelosBagkis', 'ZoeBrown', 'KostasKaratzas', 'TheodosiosKassandros', 'ChrysanthiSardeli', 'RuchiSingla', 'Sharmilee MNyenhuis']",,,PubMed,
,10.1016/j.jormas.2025.102594,DNA Methylation-Based Machine Learning Models for Classification of Oral Cancer and Potentially Malignant Lesions: A Proof-Of-Concept Study.,"Accurate classification of oral squamous cell carcinoma (OSCC) and oral potentially malignant lesions (OPLs) is challenging due to histopathological variability and limited predictive biomarkers. DNA methylation offers a promising molecular signature, but its utility for tissue classification remains underexplored.
We harmonized publicly available DNA methylation datasets (GSE97784 and GSE204943; n = 142) and selected the top 100 most variable CpG sites (variance 0.074-0.117) for analysis. Eight supervised machine learning (ML) models-logistic regression, random forest (RF), support vector machine (SVM), extreme gradient boosting (XGBoost), k-nearest neighbors (kNN), Naive Bayes, gradient boosting machine (GBM), and neural network (NN)-were trained using 10-fold cross-validation. Principal component analysis was performed to assess data dimensionality.
High-variance CpG sites were predominantly located within gene bodies and clustered on chromosomes 1, 2, and 6. PCA revealed complex, high-dimensional methylation patterns requiring 55 components to capture 90% of variance. Overall, RF achieved the highest accuracy (78%) and AUC-ROC (0.84), followed by GBM (76%) and XGBoost. Tumor and normal tissues were classified with relatively high sensitivity and specificity, while OPLs were difficult to detect, showing low sensitivity (<50%) across all models. GBM performed best for normal tissue detection, and Naive Bayes slightly outperformed for tumor F1-score, but RF offered the most balanced performance across classes.
Ensemble ML models, particularly RF and GBM, demonstrate proof-of-concept potential for DNA methylation-based classification of oral tissues. While tumor and normal classification is robust, OPL detection remains challenging, highlighting the need for larger, balanced datasets and complementary biomarkers to improve early detection and clinical utility.","Journal of stomatology, oral and maxillofacial surgery",,"['GowriSivaramakrishnan', 'KannanSridharan', 'Mohammed AbdullaAlMuharraqi']",,,PubMed,
,10.1093/bib/bbaf533,Computational toxicology in drug discovery: applications of artificial intelligence in ADMET and toxicity prediction.,"Toxicity risk assessment plays a crucial role in determining the clinical success and market potential of drug candidates. Traditional animal-based testing is costly, time-consuming, and ethically controversial, which has led to the rapid development of computational toxicology. This review surveys over 20 ADMET prediction platforms, categorizing them into rule/statistical-based methods, machine learning (ML) methods, and graph-based methods. We also summarize major toxicological databases into four types: chemical toxicity, environmental toxicology, alternative toxicology, and biological toxin databases, highlighting their roles in model training and validation. Furthermore, we review recent advancements in ML and artificial intelligence (AI) applied to toxicity prediction, covering acute toxicity, organ-specific toxicities, and carcinogenicity. The field is transitioning from single-endpoint predictions to multi-endpoint joint modeling, incorporating multimodal features. We also explore the application of generative modeling techniques and interpretability frameworks to improve the accuracy and credibility of predictions. Additionally, we discuss the use of network toxicology in evaluating the safety of traditional Chinese medicines (TCMs) and the potential of large language models (LLMs) in literature mining, knowledge integration, and molecular toxicity prediction. Finally, we address current challenges, including data quality, model interpretability, and causal inference, and propose future directions such as multi-omics integration, interpretable AI models, and domain-specific LLMs, aiming to provide more efficient and precise technical support for preclinical toxicity assessments in drug development.",Briefings in bioinformatics,,"['JiangyanZhang', 'HaolinLi', 'YuncongZhang', 'JunyangHuang', 'LipingRen', 'ChuantaoZhang', 'QuanZou', 'YangZhang']",,,PubMed,
,10.1177/15330338251382839,A Prognostic Risk Signature Based on Myeloid-Derived Suppressor Cells and Regulatory T Cells in Clear Cell Renal Cell Carcinoma.,"IntroductionClear cell renal cell carcinoma (ccRCC) is the most prevalent histological subtype of renal carcinoma. To diagnose ccRCC and assess its prognosis more accurately, it is essential to screen novel prognostic biomarkers and construct prognostic signatures.MethodsImmune infiltration analysis of the TCGA cohort was performed via single-sample gene set enrichment analysis (ssGSEA). The ccRCC cohort from the TCGA database was used to identify MDSC/Treg-related genes. Hub genes were selected from the common genes in the MDSC/Treg-related gene list via machine learning approaches. These hub genes were then employed to construct the risk signature through multivariate analysis.The prognostic performance, immune performance, and functional analysis of the signature were comprehensively assessed. Two independent GEO datasets were used to verify the major findings above. Potential drugs were screened to promote clinical transformation via the CellMiner platform. Finally, the expression levels of six markers were validated through RT-qPCR analysis of clinical tissue samples.ResultsSix MDSC/Treg-related DEGs were identified via machine learning approaches based on the Cancer Genome Atlas cohort. A novel signature (risk score = -0.5579*",Technology in cancer research & treatment,,"['ZhaoyuXu', 'KenLiu', 'QiangqiangXu', 'PengLi', 'QiWu', 'JunjieYe']",,,PubMed,
,10.1109/TMI.2025.3618446,ProtoMTG: Prototypical Multi-Task Learning for the Generation of Multiple Stained Immunohistochemical Images.,"Multiplex immunohistochemistry (mIHC) images have the potential to assess the complex tumor microenvironment by simultaneously detecting multiple markers within a single tissue section, however, the acquisition of mIHC images in clinical labs is both time-consuming and costly. Hence, applying machine learning-based virtual staining techniques for rapid generation of different mIHC markers has become a considerable alternative. The existing bio-image based virtual staining models generate the distributions of different markers independently, which have limited interpretability and overlook the fact that the exploration of potential interrelationships among these markers can help determine the localization of each individual marker. To address the above issues, we propose an explainable prototypical multi-task generation framework (i.e., ProtoMTG) to simultaneously generate multiple mIHC markers. Specifically, ProtoMTG involves a multi-task prototype layer that can capture the relationship among different virtual staining tasks by learning the shared and task-specific prototypes. Then, in the proto-attention layer, both task-specific and shared prototypes will be re-weighted and combined to instruct the generation of different mIHC markers. In ProtoMTG, we also design the novel prototypical activation and diversity losses to learn better prototype representation for the virtual staining task. To evaluate the performance of our method, we develop three benchmark mIHC datasets on different organs (i.e., colon, liver and stomach). The experimental results indicate that our method can not only outperform the existing image generation models, but also have good explainable ability for the virtual staining of mIHC markers. The code and dataset are available at: https://jj-zhou-code.github.io/ProtoMTG-website/.",IEEE transactions on medical imaging,,"['JunjieZhou', 'AndreyKrylov', 'JianpengSheng', 'QiZhu', 'WeiShao', 'DaoqiangZhang']",,,PubMed,
,10.1371/journal.pone.0333070,Exploration common biomarkers and pathogenesis of primary Sjögren's syndrome and interstitial lung disease by machine learning and weighted gene co-expression networks.,"Primary Sjögren's syndrome (pSS) is an autoimmune and inflammatory disorder that may affect the lungs, leading to interstitial lung disease (ILD). However, the diagnosis of progression from pSS to ILD is frequently delayed due to unstandardized interdisciplinary diagnostic criteria and a lack of reliable shared biomarkers. This diagnostic challenge, compounded by significant pathophysiological divergence in target organs, has hindered elucidation of their comorbidity mechanisms. This study employs integrated bioinformatics to identify shared biomarkers in pSS and ILD, deciphers their pathogenic mechanisms, and predicts targeted therapeutics via network pharmacology.
From the Gene Expression Omnibus (GEO) database, we retrieved gene expression profiles of pSS and ILD. Differential expression gene (DEG) analysis was performed on the profiles, followed by further screening using four machine learning algorithms. Concurrently, weighted gene co-expression network analysis (WGCNA) was applied to identify gene modules, and enrichment analysis of WGCNA-derived genes was conducted to explore their biological functions. Genes obtained from WGCNA and machine learning approaches were then intersected to identify candidate biomarkers for pSS-ILD. The diagnostic potential of these candidate genes was evaluated in both discovery and validation sets using receiver operating characteristic (ROC) curves. Finally, we performed immune cell infiltration analysis of candidate genes, regulatory network construction for transcription factor (TF)-gene and miRNA-gene interactions, drug-target prediction, and molecular docking coupled with molecular dynamics simulations for predicted drugs.
Differential expression analysis identified 25 shared genes between pSS and ILD gene expression profiles, with machine learning algorithms refining six key genes from these DEGs. WGCNA revealed 39 intersecting genes significantly enriched in biological processes including cell division, oocyte maturation, and metabolic regulation. Intersection of machine learning and WGCNA results yielded two hub genes (CYSLTR1 and SIGLEC10), both demonstrating robust diagnostic value in discovery and validation cohorts. Immune cell infiltration profiling showed: upregulation of activated CD4+ memory T cells and memory B cells; downregulation of resting NK cells. Regulatory network analysis indicated FOXC1, hsa-mir-27a-3p, hsa-mir-195-5p, and hsa-miR-26a-5p as potential coregulators of CYSLTR1 and SIGLEC10 expression. Finally, ten candidate drug compounds targeting the hub genes were prioritized, exemplified by:Rev-5901 (CTD 00002161), Zafirlukast (BOSS database) and Montelukast (CTD 00003205). Molecular docking demonstrated substantial binding affinity of both montelukast and zafirlukast for CYSLTR1, while molecular dynamics simulations further validated the stability of their complexes.
This study revealed that CYSLTR1 and SIGLEC10 demonstrate diagnostic potential for pSS-ILD. Their mechanism of action likely involves synergistically upregulating memory B cells to promote disease progression. Furthermore, we identified montelukast as a potential therapeutic agent. This discovery holds promise for improving clinical outcomes for pSS-ILD patients.",PloS one,,"['JingqiDong', 'ZelinWang', 'YananXu', 'ShufenLiang']",,,PubMed,
,10.3791/68222,Machine Learning-Based Cough Tone Classification: Diagnostic Exploration of Chronic Obstructive Pulmonary Disease and Respiratory Tract Infections.,"The objective of this study was to develop and evaluate a non-invasive method for distinguishing patients with chronic obstructive pulmonary disease (COPD) from those with respiratory tract infections (RTI) using voice signal analysis and machine learning. Fixed-pattern voice signals were collected from 25 COPD patients and 25 RTI patients (serving as the control/comparison group). Multi-dimensional voice feature analysis was performed to identify features significantly differentiating the two groups. Statistically significant features were selected and subjected to dimensionality reduction. Logistic Regression (LR) and Random Forest (RF) models were then trained and evaluated for classification performance in distinguishing COPD from RTI. Over 400 voice features were initially analyzed. Eighteen features showed highly significant differences between COPD and RTI patients (P <; 0.05). In the task of distinguishing COPD patients from RTI patients, the LR model achieved a test set area under the curve AUC of 0.95, significantly outperforming the RF model (AUC = 0.76). This study demonstrates the feasibility of using voice analysis and machine learning, particularly the LR model, as a promising non-invasive tool for differentiating COPD from RTI. It provides a foundation for the practical application and further optimization of this voice-based approach in clinical settings requiring differential diagnosis of respiratory conditions.",Journal of visualized experiments : JoVE,,"['XiaohanLiu', 'TengtengLi', 'JingxinZhang', 'JiutangSun', 'JinghuaLi', 'ZhulvZhang', 'BenzhangZhao', 'JianjunWu', 'YuLu', 'TaoLu']",,,PubMed,
,10.1097/HTR.0000000000001116,Patterns of Concussion Recovery and Persisting Symptoms in Adolescent Females.,"Many studies of concussion in adolescents include both sexes, but males are often overrepresented. Female adolescents may be more susceptible to concussion and greater symptom severity than males, potentially masking associations that may exist in concussed adolescent females between pre-existing/injury-related factors and persisting symptoms. To address these issues, our research objectives were to (1) determine what factors at initial clinical evaluation are predictive of persisting concussion symptoms, specifically in adolescent females using modern statistical approaches, and (2) identify the persisting symptoms potentially linked to these factors to inform best practices for the targeted treatment of adolescent females.
Specialty concussion clinics.
732 adolescent females aged 12 to 18 years with a diagnosis of concussion ≤30 days from injury.
Data from a prospective cohort study were obtained at 2 clinical time points, within 1 month following injury and 3 months later. Data were analyzed using machine learning techniques in logistic regression and random forest classification models.
Demographic variables, pre-existing factors, and injury-related factors; Sport Concussion Assessment Tool 5© (SCAT5) Symptom Evaluation, General Anxiety Disorder-7 (GAD-7), Patient Health Questionnaire-8 (PHQ-8), and Pittsburgh Sleep Quality Index (PSQI).
In the machine learning analysis, the area under the curve (AUC) for the random forest model was 0.73 (SE = 0.014), and the AUC of the logistic regression model was 0.70 (SE = 0.0014). SCAT5 Symptom Severity Score, SCAT5 Emotional Cluster Symptom Severity, Number of SCAT5 Symptoms, GAD-7 Score, PHQ-8 Score, PSQI Score, and pre-existing/injury-related factors were predictive of persisting concussion symptoms. Specific persisting symptoms were also identified.
Adolescent females with greater initial post-concussion symptoms, especially emotional symptoms, were more likely to report persisting symptoms. Use of readily available screening tools can be utilized by providers to identify adolescent females who may be at risk for persisting symptoms and direct focused treatment for these symptoms.",The Journal of head trauma rehabilitation,,"['Stephen CBunt', 'KristinWilmoth', 'EllenTaylor', 'LeahBullinger', 'TaraDriskill', 'LoganShurtz', 'Robbie TMagill', 'Linda SHynan', 'Cheryl HSilver', 'NyazDidehbani', 'Kathleen RBell', 'MathewStokes', 'Shane MMiller', 'C MunroCullum']",,,PubMed,
,10.1007/s10072-025-08503-1,Machine learning-based non-invasive Parkinson's disease diagnostic model using clinical blood biomarkers.,"Parkinson's Disease (PD) diagnosis lacks effective non-invasive markers, complicating early detection and timely intervention. Machine learning (ML) combined with clinical blood biomarkers may provide a feasible approach for early diagnosis and monitoring.
This study aims to construct and validate a non-invasive diagnostic model for PD using machine learning and routine clinical blood biomarkers, and identify key biomarkers linked to disease severity.
A total of 920 participants (428 PD and 492 non-PD) from two medical centers were included as training and validation sets. Biomarker selection was performed via least absolute shrinkage and selection operator (LASSO) and stepwise regression. Five machine learning models-logistic regression (LR), support vector machine (SVM), decision tree (DT), Naive Bayes (NB) and K-Nearest Neighbor (KNN)-were constructed and compared. The optimal model was interpreted using Shapley values (SHAP), and correlation with PD severity (Hoehn-Yahr stage) was assessed.
The SVM model demonstrated the best external validation performance (AUC = 0.916, recall = 0.949, F1-score = 0.843). SHAP analysis revealed superoxide dismutase (SOD) contributed the most to the model prediction, followed by gender and uric acid (UA). Furthermore, albumin (ALB) and SOD showed significant negative correlations with PD severity.
The SVM-based diagnostic model effectively differentiates PD from controls using readily obtainable clinical biomarkers, offering promising clinical utility for PD screening, diagnosis, and progression monitoring.",Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,,"['JiaqiHan', 'MenggeSun', 'JiYang', 'YuAn']",,,PubMed,
